RF,MaximinRF,MaggingRF,MaggingRF2
1.4246391649384473,1.2024086013646869,1.2170906367653407,1.1239602212290718
1.411040566919986,1.2259334312174088,1.1523944778421902,1.1013628926881842
1.3274342260772876,1.207577127360682,1.1567212209610302,1.0767683356141804
1.373064008293703,1.2352667614479251,1.1159529604901448,1.140634789018561
1.5003820694359828,1.2564959751026967,1.2675726385377388,1.2089919550948576
1.4574591471442646,1.178888506158157,1.0882659076784718,1.0959201110748003
1.4441627007762836,1.3110168336725492,1.1776241999741326,1.1730389345599912
1.6392078772914138,1.3624114458006022,1.2344558846642109,1.215819786346353
1.354468488478965,1.173812245318887,1.2744872687286575,1.2328084739393879
1.2702591749142949,1.2222733305167413,1.1096663169477083,1.038733345038163
1.2554159921640295,1.2489550201458293,0.9926152565143797,1.033341272817209
1.4742669991923074,1.2983288881491153,1.162729105412187,1.1480205885519368
1.477906727662113,1.2128217293038854,1.1024217331749386,1.0102849632135913
1.3987423976240356,1.2541142601592137,1.0612962087164743,1.0860830811094553
1.4612871412065016,1.3341084030227217,1.1569481808718922,1.1437544136174091
1.7311645403074594,1.4072340794129845,1.5306764417707626,1.372347459872447
1.4679364597771145,1.2985752299470883,1.1735324139606664,1.1807932930691827
1.5139976284005334,1.4264401299427691,1.2197557583493177,1.165192472376768
1.3078497049092357,1.1734564577975677,1.3348044483024357,1.0502677032151633
1.4499399209499688,1.4356678895195996,1.1825549848998886,1.2254565618933237
1.5094497090184897,1.4241331879657495,1.2209889890805465,1.1300957406385246
1.5394654024707393,1.29230239795669,1.20482817326551,1.2024864935108757
1.4395801397035233,1.3443258270086575,1.2276822077051874,1.178227573399899
1.4626757322795843,1.392461337858449,1.3006123388710205,1.2408460311432343
1.3321359594390452,1.1766781831483604,1.135375960586901,1.0804019447943722
1.5362604737690484,1.3609865060217086,1.4507224702518036,1.2129384847125135
1.443425687084928,1.2609832302446862,1.2647695220670443,1.1391920193138763
1.3977380900186689,1.361870738958466,1.172149339326836,1.1298404192584122
1.3500019466310769,1.1082526670314317,1.0470883438031282,1.06055842666332
1.5043031829720204,1.409955144350964,1.2943471392055699,1.1769345268373774
1.3162524444002652,1.261459074428633,1.2978210707765014,1.2153574652747487
1.1924729004859893,1.2029576132352606,1.206699811927614,0.9820243711766672
1.485000107190148,1.0976111799916302,1.0330390477465663,1.0310602167132052
1.412523825610224,1.2828481666176337,1.146073634856256,1.0586880355666728
1.3433910827512154,1.2839452278621957,1.226052874610154,1.1157264719479836
1.575337846658454,1.5317896651579828,1.4049818721838943,1.2797713477174624
1.6304682308889096,1.3805833304908774,1.3657285289965666,1.3452156979077372
1.3324667522910691,1.2230049783854982,1.1592572346237382,1.0717941708191197
